t,total,jals,anti
0,200,100,100
1,200,100,100
2,200,100,100
3,200,100,100
4,200,100,100
5,200,100,100
6,200,100,100
7,200,100,100
8,200,100,100
9,200,100,100
10,200,100,100
11,200,100,100
12,200,100,100
13,200,100,100
14,200,100,100
15,200,100,100
16,200,100,100
17,200,100,100
18,200,100,100
19,200,100,100
20,200,100,100
21,200,100,100
22,199,100,99
23,199,100,99
24,199,100,99
25,199,100,99
26,199,100,99
27,199,100,99
28,199,100,99
29,199,100,99
30,199,100,99
31,199,100,99
32,199,100,99
33,199,100,99
34,199,100,99
35,199,100,99
36,199,100,99
37,199,100,99
38,199,100,99
39,199,100,99
40,199,100,99
41,198,100,98
42,198,100,98
43,198,100,98
44,198,100,98
45,198,100,98
46,198,100,98
47,198,100,98
48,198,100,98
49,198,100,98
50,198,100,98
51,198,100,98
52,198,100,98
53,198,100,98
54,198,100,98
55,198,100,98
56,198,100,98
57,198,100,98
58,198,100,98
59,198,100,98
60,198,100,98
61,198,100,98
62,198,100,98
63,198,100,98
64,198,100,98
65,198,100,98
66,198,100,98
67,197,100,97
68,197,100,97
69,197,100,97
70,197,100,97
71,197,100,97
72,197,100,97
73,197,100,97
74,197,100,97
75,197,100,97
76,197,100,97
77,197,100,97
78,197,100,97
79,197,100,97
80,197,100,97
81,197,100,97
82,197,100,97
83,197,100,97
84,197,100,97
85,197,100,97
86,197,100,97
87,197,100,97
88,196,100,96
89,196,100,96
90,196,100,96
91,196,100,96
92,196,100,96
93,196,100,96
94,196,100,96
95,196,100,96
96,196,100,96
97,196,100,96
98,196,100,96
99,196,100,96
100,196,100,96
101,196,100,96
102,196,100,96
103,196,100,96
104,195,100,95
105,195,100,95
106,195,100,95
107,195,100,95
108,195,100,95
109,195,100,95
110,195,100,95
111,195,100,95
112,195,100,95
113,195,100,95
114,195,100,95
115,195,100,95
116,195,100,95
117,195,100,95
118,195,100,95
119,195,100,95
120,195,100,95
121,194,100,94
122,194,100,94
123,194,100,94
124,194,100,94
125,194,100,94
126,194,100,94
127,194,100,94
128,194,100,94
129,194,100,94
130,194,100,94
131,194,100,94
132,194,100,94
133,194,100,94
134,194,100,94
135,194,100,94
136,193,100,93
137,193,100,93
138,193,100,93
139,193,100,93
140,193,100,93
141,193,100,93
142,193,100,93
143,193,100,93
144,193,100,93
145,193,100,93
146,193,100,93
147,193,100,93
148,193,100,93
149,193,100,93
150,193,100,93
151,193,100,93
152,193,100,93
153,192,100,92
154,191,99,92
155,191,99,92
156,191,99,92
157,191,99,92
158,191,99,92
159,190,98,92
160,190,98,92
161,190,98,92
162,190,98,92
163,190,98,92
164,190,98,92
165,189,98,91
166,189,98,91
167,189,98,91
168,189,98,91
169,189,98,91
170,189,98,91
171,189,98,91
172,189,98,91
173,189,98,91
174,188,97,91
175,188,97,91
176,186,96,90
177,186,96,90
178,186,96,90
179,186,96,90
180,186,96,90
181,186,96,90
182,186,96,90
183,186,96,90
184,183,93,90
185,183,93,90
186,183,93,90
187,183,93,90
188,183,93,90
189,182,93,89
190,182,93,89
191,182,93,89
192,182,93,89
193,182,93,89
194,178,89,89
195,178,89,89
196,177,88,89
197,177,88,89
198,177,88,89
199,177,88,89
200,176,88,88
201,176,88,88
202,176,88,88
203,176,88,88
204,176,88,88
205,176,88,88
206,175,87,88
207,174,87,87
208,174,87,87
209,174,87,87
210,174,87,87
211,173,86,87
212,173,86,87
213,173,86,87
214,164,78,86
215,164,78,86
216,164,78,86
217,164,78,86
218,164,78,86
219,164,78,86
220,163,78,85
221,163,78,85
222,163,78,85
223,163,78,85
224,162,77,85
225,162,77,85
226,161,77,84
227,160,76,84
228,159,75,84
229,157,74,83
230,157,74,83
231,156,73,83
232,156,73,83
233,156,73,83
234,139,56,83
