t,total,jals,anti
0,200,100,100
1,200,100,100
2,200,100,100
3,200,100,100
4,200,100,100
5,200,100,100
6,200,100,100
7,200,100,100
8,200,100,100
9,200,100,100
10,200,100,100
11,200,100,100
12,200,100,100
13,200,100,100
14,200,100,100
15,200,100,100
16,200,100,100
17,200,100,100
18,200,100,100
19,200,100,100
20,200,100,100
21,200,100,100
22,200,100,100
23,200,100,100
24,200,100,100
25,200,100,100
26,200,100,100
27,200,100,100
28,200,100,100
29,200,100,100
30,200,100,100
31,200,100,100
32,200,100,100
33,200,100,100
34,200,100,100
35,200,100,100
36,200,100,100
37,200,100,100
38,200,100,100
39,200,100,100
40,200,100,100
41,200,100,100
42,200,100,100
43,200,100,100
44,200,100,100
45,200,100,100
46,200,100,100
47,200,100,100
48,200,100,100
49,200,100,100
50,200,100,100
51,200,100,100
52,200,100,100
53,200,100,100
54,200,100,100
55,200,100,100
56,200,100,100
57,200,100,100
58,200,100,100
59,200,100,100
60,200,100,100
61,200,100,100
62,200,100,100
63,200,100,100
64,199,100,99
65,199,100,99
66,199,100,99
67,199,100,99
68,199,100,99
69,199,100,99
70,199,100,99
71,199,100,99
72,199,100,99
73,199,100,99
74,199,100,99
75,199,100,99
76,199,100,99
77,199,100,99
78,199,100,99
79,199,100,99
80,199,100,99
81,199,100,99
82,199,100,99
83,199,100,99
84,199,100,99
85,199,100,99
86,199,100,99
87,199,100,99
88,199,100,99
89,199,100,99
90,199,100,99
91,199,100,99
92,199,100,99
93,199,100,99
94,199,100,99
95,199,100,99
96,199,100,99
97,199,100,99
98,199,100,99
99,199,100,99
100,199,100,99
101,199,100,99
102,199,100,99
103,198,100,98
104,198,100,98
105,198,100,98
106,198,100,98
107,198,100,98
108,198,100,98
109,198,100,98
110,198,100,98
111,198,100,98
112,198,100,98
113,198,100,98
114,198,100,98
115,198,100,98
116,198,100,98
117,198,100,98
118,198,100,98
119,198,100,98
120,198,100,98
121,198,100,98
122,198,100,98
123,198,100,98
124,198,100,98
125,198,100,98
126,198,100,98
127,198,100,98
128,198,100,98
129,198,100,98
130,198,100,98
131,198,100,98
132,198,100,98
133,198,100,98
134,198,100,98
135,198,100,98
136,198,100,98
137,197,100,97
138,197,100,97
139,197,100,97
140,196,99,97
141,196,99,97
142,196,99,97
143,196,99,97
144,196,99,97
145,196,99,97
146,196,99,97
147,196,99,97
148,196,99,97
149,195,98,97
150,195,98,97
151,195,98,97
152,195,98,97
153,195,98,97
154,194,97,97
155,194,97,97
156,194,97,97
157,194,97,97
158,194,97,97
159,193,97,96
160,192,96,96
161,192,96,96
162,192,96,96
163,192,96,96
164,192,96,96
165,192,96,96
166,192,96,96
167,192,96,96
168,192,96,96
169,192,96,96
170,192,96,96
171,192,96,96
172,192,96,96
173,191,95,96
174,185,89,96
175,184,88,96
176,183,87,96
177,182,87,95
178,181,86,95
179,181,86,95
180,181,86,95
181,181,86,95
182,180,85,95
183,180,85,95
184,180,85,95
185,180,85,95
186,180,85,95
187,180,85,95
188,180,85,95
189,180,85,95
190,180,85,95
191,180,85,95
192,180,85,95
193,180,85,95
194,171,76,95
195,171,76,95
196,171,76,95
197,170,75,95
198,169,75,94
199,169,75,94
200,168,74,94
201,168,74,94
202,167,73,94
203,167,73,94
204,166,72,94
205,166,72,94
206,166,72,94
207,166,72,94
208,166,72,94
209,166,72,94
210,165,71,94
211,164,70,94
212,163,69,94
213,162,68,94
214,142,48,94
215,142,48,94
216,142,48,94
217,141,47,94
218,140,46,94
219,139,45,94
220,137,44,93
221,137,44,93
222,137,44,93
223,137,44,93
224,135,42,93
225,134,41,93
226,133,41,92
227,131,41,90
228,131,41,90
229,131,41,90
230,130,40,90
231,130,40,90
232,130,40,90
233,129,40,89
234,111,27,84
