t,C,B,D,L,P,R,drift,shock,C_std_w
--- new run 20251104_145948 ---,,,,,,,,,
0,0.5917057100234219,0.6000369046007245,0.6089623661252541,0.5917758643391334,0.5732822448372817,0.5863598764448483,-0.0002,0.0,
1,0.586583197492802,0.5702875079508306,0.6107666742031773,0.6319823217057694,0.5585160492807418,0.5677456294502501,-0.0002,0.0,
2,0.5875116497839191,0.5849827694563865,0.6214732844479791,0.6351447491757064,0.5306020079394957,0.5668680747763519,-0.0002,0.0,
3,0.563325437102378,0.6058418652901352,0.5811468480294266,0.6214162763444998,0.47356532574547044,0.5281819425828026,-0.0002,0.0,
4,0.5453976243098907,0.5505898141563832,0.5740941140971861,0.5833928819011888,0.48170325651012147,0.5328844751815294,-0.0002,0.0,
5,0.5251675136457523,0.5449818858174845,0.49859132277257073,0.5672320950257896,0.4802482281480893,0.5362837447616285,-0.0002,0.0,
6,0.5086499885894994,0.4990778128523227,0.4842587244915528,0.5378765226840905,0.45598311096532135,0.5681107034632109,-0.0002,0.0,
7,0.5040604889865482,0.47485177259236583,0.4832830733431872,0.5644082187055857,0.4384750979830223,0.5647596449756861,-0.0002,0.0,
8,0.5071588800614882,0.4781656968898502,0.48519652657083906,0.5276565439130548,0.44075930489433257,0.6055243476279322,-0.0002,0.0,
9,0.5118009478832708,0.4317513565459957,0.510978007211487,0.5312371646839523,0.42151519307111596,0.6655368440182049,-0.0002,0.0,
10,0.511300650385678,0.4546191479085371,0.4749993401483303,0.5334726515470962,0.4388158805812215,0.6598733802576824,-0.0002,0.0,
11,0.5226720844153389,0.47510645592439327,0.4730038205438478,0.553490078372126,0.48197155833090605,0.6396035127275128,-0.0002,0.0,
12,0.5117692450727346,0.4812006142360815,0.45910459324769537,0.557308130708901,0.44635572249540184,0.6222244648324327,-0.0002,0.0,
13,0.510676059050211,0.4753147350519466,0.4860675094107076,0.5916647909325249,0.4066498887208742,0.5983851938528212,-0.0002,0.0,
14,0.5063126217563687,0.49472183772914924,0.42629491588547275,0.5777696949839539,0.40373128095077154,0.6360956431714258,-0.0002,0.0,
15,0.514499021964019,0.5154039547462719,0.4164785132788068,0.5667124181609552,0.3962254189352338,0.6818015251851105,-0.0002,0.0,
